4 x 4,,,,,,10 x 10,,,,,
BP,,,tSU,,,BP,,,tSU,,
D = 2,D = 3,D = 4,D = 2,D = 3,D = 4,D = 2,D = 3,D = 4,D = 2,D = 3,D = 4
25,24,20,20,33,20,25,20,17,29,64,18
25,24,20,22,76,25,26,20,17,60,28,15
31,22,20,62,23,40,26,20,17,33,19,16
27,23,21,156,27,18,28,21,16,40,31,21
26,24,20,21,26,24,26,19,17,26,19,16
28,23,20,27,24,21,26,19,17,32,41,16
30,23,20,45,41,19,25,20,17,32,21,21
27,23,20,49,19,25,25,20,17,25,20,19
31,23,22,25,35,20,27,20,17,27,18,14
27,24,20,36,25,20,26,20,17,356,20,19
28,24,20,23,23,20,26,20,17,56,36,17
26,25,20,28,32,22,28,20,17,26,29,14
26,23,20,23,29,19,25,20,17,35,44,15
26,26,20,25,22,19,26,19,17,32,18,15
22,23,20,31,23,22,25,19,17,27,42,18
28,24,21,59,29,18,26,20,17,77,25,15
28,25,20,53,21,19,25,20,17,45,23,23
24,23,19,27,26,15,26,19,17,50,42,13
26,25,20,22,19,89,27,20,17,176,24,19
28,23,20,52,24,28,27,20,17,55,29,48
