4 x 4,,,,,,10 x 10,,,,,
BP,,,tSU,,,BP,,,tSU,,
D = 2,D = 3,D = 4,D = 2,D = 3,D = 4,D = 2,D = 3,D = 4,D = 2,D = 3,D = 4
14,19,50,4,7,10,17,21,48,5,7,8
15,17,40,5,8,9,17,21,42,5,7,7
14,17,40,4,7,8,16,20,50,4,7,9
15,18,39,5,8,9,18,23,44,5,8,7
14,22,40,4,8,9,19,20,53,5,7,9
15,17,46,5,8,10,18,19,46,5,7,8
15,20,46,5,9,10,18,19,49,5,7,9
17,18,41,5,8,9,16,22,44,4,8,8
13,23,47,4,8,9,17,20,55,5,8,9
15,21,42,5,8,8,16,20,49,5,7,7
14,17,40,4,7,9,18,20,49,5,7,8
14,17,43,4,7,9,16,21,51,5,7,9
15,17,42,5,8,9,17,20,55,5,7,9
15,16,44,5,8,10,16,24,55,4,8,9
17,17,43,5,7,9,16,23,45,4,8,7
14,23,48,4,9,10,16,23,52,4,8,9
17,19,43,5,8,9,17,21,46,5,8,8
14,17,41,5,8,9,17,21,45,5,7,7
14,17,38,4,7,9,16,22,56,4,8,9
14,23,41,4,8,9,18,21,46,5,7,7
