4 x 4,,,,,,10 x 10,,,,,
BP,,,tSU,,,BP,,,tSU,,
D = 2,D = 3,D = 4,D = 2,D = 3,D = 4,D = 2,D = 3,D = 4,D = 2,D = 3,D = 4
15,16,36,6,9,15,16,18,51,5,7,12
12,18,35,5,10,9,16,22,44,5,8,11
12,18,36,4,8,11,15,20,42,5,8,13
12,17,39,4,7,9,16,19,201,5,8,200
13,17,29,4,8,11,15,22,42,5,8,10
12,18,47,4,8,22,16,22,43,5,9,10
14,19,39,5,16,10,15,19,41,5,8,9
13,16,41,5,7,11,15,19,45,5,8,10
13,19,41,5,8,11,16,17,201,5,7,200
12,17,38,4,10,15,16,20,201,5,8,200
13,18,47,5,9,10,16,20,42,5,8,11
14,20,36,5,9,13,16,21,45,5,9,9
13,16,33,5,9,9,14,20,201,5,10,200
12,17,39,4,11,9,15,20,41,5,8,9
13,22,42,4,12,10,15,19,44,5,7,11
13,19,37,5,8,11,16,22,41,5,9,19
14,17,44,4,8,12,14,19,44,4,7,10
11,22,38,4,10,15,15,18,41,5,9,9
14,19,42,6,10,9,15,19,38,5,10,8
13,17,32,4,10,35,15,22,45,5,9,10
