4 x 4,,,,,,10 x 10,,,,,,,,,
BP,,,tSU,,,BP,,,tSU,,,,,,
D = 2,D = 3,D = 4,D = 2,D = 3,D = 4,D = 2,D = 3,D = 4,D = 2,D = 3,D = 4,,,,
7,6,6,8,8,8,7,6,5,9,8,7,,,,
8,6,5,9,8,8,7,6,5,9,8,7,,,,
7,6,6,9,8,8,7,6,5,8,8,7,,,,
8,7,6,9,8,8,7,6,5,9,8,7,,,,
7,6,6,9,8,8,7,6,5,9,8,7,,,,
8,7,6,9,8,8,7,6,5,9,8,7,,,,
7,7,6,9,8,8,7,6,5,9,8,7,,,,
7,6,6,9,8,8,7,6,5,9,8,7,,,,
8,6,6,9,8,8,7,6,5,9,8,7,,,,
8,6,6,9,8,8,7,6,5,9,8,7,,,,
8,6,6,10,8,8,7,6,5,9,8,7,,,,
7,6,6,8,8,8,7,6,5,9,8,7,,,,
7,6,6,9,8,8,8,6,5,9,8,7,,,,
8,6,6,10,8,8,8,6,5,9,8,7,,,,
8,6,6,9,8,8,7,6,5,8,8,7,,,,
7,6,5,8,8,8,7,6,5,9,8,7,,,,
7,7,5,9,8,8,7,6,5,9,8,7,,,,
8,6,6,9,8,8,7,6,5,9,8,7,,,,
8,6,6,9,8,8,8,6,5,9,8,7,,,,
8,7,5,9,8,8,7,6,5,9,8,7,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
